,0
223,0.11193529516458511
224,0.1553153097629547
225,0.1717178076505661
226,0.1379348337650299
227,0.10166242718696594
228,0.13308879733085632
229,0.09411565214395523
230,0.11374933272600174
231,0.14710356295108795
232,0.09895214438438416
233,0.14058932662010193
234,0.11267177015542984
235,0.13657671213150024
236,0.12694518268108368
237,0.1548798829317093
238,0.1381564736366272
239,0.10502779483795166
240,0.11460153013467789
241,0.12982402741909027
242,0.078299880027771
243,0.09346187114715576
244,0.1461520791053772
245,0.1873512864112854
246,0.12114626914262772
247,0.11408720165491104
248,0.1224854364991188
249,0.13419701159000397
250,0.14275772869586945
251,0.0978517010807991
252,0.13162989914417267
253,0.10252504050731659
254,0.09676617383956909
255,0.11107023060321808
256,0.12438134104013443
257,0.161675363779068
258,0.1150738000869751
259,0.10692741721868515
260,0.0974053293466568
261,0.13630329072475433
262,0.17215277254581451
263,0.11856583505868912
264,0.13481293618679047
265,0.09805310517549515
266,0.08076216280460358
267,0.10638247430324554
268,0.12287486344575882
269,0.10182877629995346
270,0.10756350308656693
271,0.19203172624111176
272,0.12562836706638336
273,0.13154904544353485
274,0.0947740375995636
275,0.15213362872600555
276,0.09837406128644943
277,0.09711988270282745
278,0.10232905298471451
279,0.15830159187316895
280,0.1260010153055191
281,0.12922732532024384
282,0.08602774143218994
283,0.08101696521043777
284,0.11736922711133957
285,0.12170315533876419
286,0.13087986409664154
287,0.09708370268344879
288,0.08895283937454224
289,0.1252688467502594
290,0.10386304557323456
291,0.09018862247467041
292,0.109493188560009
293,0.1660979837179184
294,0.1466730684041977
295,0.07829710096120834
296,0.14955957233905792
297,0.1279585212469101
298,0.10767535120248795
299,0.11055871844291687
300,0.09607477486133575
301,0.09223248064517975
302,0.1474815309047699
303,0.08681397140026093
304,0.07320980727672577
305,0.11875317990779877
306,0.07422129064798355
307,0.08544310927391052
308,0.12986330687999725
309,0.10210680216550827
310,0.11665871739387512
311,0.09074067324399948
312,0.09037639945745468
313,0.08552305400371552
314,0.13840630650520325
315,0.10224311798810959
316,0.1520901471376419
317,0.10091380774974823
318,0.10098597407341003
319,0.10822764784097672
320,0.11019150167703629
321,0.07089502364397049
322,0.10149247944355011
323,0.12692654132843018
324,0.10691000521183014
325,0.09470254182815552
326,0.11558392643928528
327,0.09696400165557861
328,0.1237814798951149
329,0.09912947565317154
330,0.09986230731010437
331,0.14192883670330048
332,0.10531962662935257
333,0.09459234774112701
334,0.09720730036497116
335,0.17909575998783112
336,0.10900505632162094
337,0.08061366528272629
338,0.09268808364868164
339,0.08813174813985825
340,0.1530405879020691
341,0.08848035335540771
342,0.10274219512939453
343,0.14949674904346466
344,0.13959215581417084
345,0.1357208788394928
346,0.08272136747837067
347,0.08693943172693253
348,0.09543689340353012
349,0.09360732138156891
350,0.10704339295625687
351,0.09472394734621048
352,0.08928307145833969
353,0.09948639571666718
354,0.10015562176704407
355,0.11780896782875061
356,0.07386366277933121
357,0.16098465025424957
358,0.09490003436803818
359,0.10977872461080551
360,0.08939910680055618
361,0.09543494135141373
362,0.1281997263431549
363,0.09166677296161652
364,0.1371101588010788
365,0.11861173063516617
366,0.08658792078495026
367,0.10654941201210022
368,0.11091093719005585
369,0.11219357699155807
370,0.10635160654783249
371,0.11314716190099716
372,0.10070225596427917
373,0.11729288846254349
374,0.12200771272182465
375,0.08604005724191666
376,0.10829957574605942
377,0.12497405707836151
378,0.09436622262001038
379,0.07343128323554993
380,0.10286346822977066
381,0.09615599364042282
382,0.08436068147420883
383,0.10607114434242249
384,0.13531461358070374
385,0.08100230991840363
386,0.08134186267852783
387,0.0828399583697319
388,0.18101756274700165
389,0.09203316271305084
390,0.09660191088914871
391,0.09137570112943649
392,0.13664138317108154
393,0.09372888505458832
394,0.1127784326672554
395,0.08504314720630646
396,0.10205724835395813
397,0.11293157190084457
398,0.09497296810150146
399,0.07994657009840012
400,0.09237772971391678
401,0.13655902445316315
402,0.06622427701950073
403,0.11120590567588806
404,0.10433585196733475
405,0.12329656630754471
406,0.09440594911575317
407,0.09103664010763168
408,0.07943455874919891
409,0.0990815982222557
410,0.11181119084358215
411,0.10402251034975052
412,0.10765998810529709
413,0.0809534415602684
414,0.09827520698308945
415,0.10643316805362701
416,0.13425718247890472
417,0.11425934731960297
418,0.10351622104644775
419,0.1308078169822693
420,0.12877517938613892
421,0.08645206689834595
422,0.1285819411277771
423,0.12281011044979095
424,0.09076519310474396
425,0.1080687865614891
